Roll No,Marks Lab report (Out of 20),Marks Mid-Semester (Out of 40),Total Marks,Total Marks Percentage,Batch
190955,18.0,27.2,45.2,75.33333333333333,Y19
190956,16.375,30.8,47.175,78.625,Y19
190957,16.375,36.0,52.375,87.29166666666667,Y19
190958,17.5,36.8,54.3,90.5,Y19
190959,18.25,34.4,52.65,87.75,Y19
190960,18.875,30.4,49.275,82.125,Y19
190961,16.0,36.4,52.4,87.33333333333333,Y19
190962,18.125,31.2,49.325,82.20833333333333,Y19
190963,14.375,28.0,42.375,70.625,Y19
190964,16.375,14.0,30.375,50.625,Y19
190965,16.875,28.8,45.675,76.125,Y19
190966,19.25,28.0,47.25,78.75,Y19
190967,12.875,25.6,38.475,64.125,Y19
190968,16.875,34.0,50.875,84.79166666666667,Y19
190969,18.75,28.8,47.55,79.25,Y19
190970,16.25,22.8,39.05,65.08333333333333,Y19
190971,13.0,30.4,43.4,72.33333333333333,Y19
190972,9.375,19.2,28.575,47.625,Y19
190973,18.875,25.2,44.075,73.45833333333333,Y19
190974,19.5,36.0,55.5,92.5,Y19
190975,18.0,28.8,46.8,78.0,Y19
190976,19.375,31.2,50.575,84.29166666666667,Y19
190977,18.875,27.2,46.075,76.79166666666667,Y19
190978,15.5,28.0,43.5,72.5,Y19
190979,12.0,35.2,47.2,78.66666666666667,Y19
190980,18.5,22.8,41.3,68.83333333333333,Y19
190981,19.25,32.0,51.25,85.41666666666667,Y19
190982,17.625,27.6,45.225,75.375,Y19
190983,12.75,36.8,49.55,82.58333333333333,Y19
190984,16.375,30.8,47.175,78.625,Y19
190985,17.5,28.4,45.9,76.5,Y19
190986,10.875,2.0,12.875,21.458333333333332,Y19
190987,18.875,25.2,44.075,73.45833333333333,Y19
190988,14.25,39.2,53.45,89.08333333333333,Y19
190989,19.375,33.6,52.975,88.29166666666667,Y19
190990,8.875,32.4,41.275,68.79166666666667,Y19
190991,4.5,29.6,34.1,56.833333333333336,Y19
190992,18.625,35.6,54.225,90.375,Y19
190993,16.625,35.6,52.225,87.04166666666667,Y19
190994,14.375,30.8,45.175,75.29166666666667,Y19
190995,17.375,29.2,46.575,77.625,Y19
190997,19.0,33.2,52.2,87.0,Y19
190998,16.75,29.6,46.35,77.25,Y19
190999,13.25,28.0,41.25,68.75,Y19
191000,18.125,33.6,51.725,86.20833333333333,Y19
191175,19.125,31.6,50.725,84.54166666666667,Y19
191176,18.75,34.0,52.75,87.91666666666667,Y19
191177,18.875,27.2,46.075,76.79166666666667,Y19
191178,19.5,35.2,54.7,91.16666666666667,Y19
191179,16.125,36.4,52.525,87.54166666666667,Y19
191180,14.0,22.8,36.8,61.33333333333333,Y19
191181,16.75,24.8,41.55,69.25,Y19
200199,9.75,34.0,43.75,72.91666666666667,Y20
201093,14.125,34.4,48.525,80.875,Y20
200056,15.125,36.0,51.125,85.20833333333333,Y20
200420,13.5,29.2,42.7,71.16666666666667,Y20
200187,15.625,19.2,34.825,58.04166666666667,Y20
200756,19.375,34.4,53.775,89.625,Y20
200842,16.75,27.6,44.35,73.91666666666667,Y20
200700,16.25,14.0,30.25,50.416666666666664,Y20
200672,19.5,26.4,45.9,76.5,Y20
200967,15.125,39.6,54.725,91.20833333333333,Y20
201056,19.375,40.0,59.375,98.95833333333333,Y20
200733,14.625,26.4,41.025,68.375,Y20
200384,14.625,33.2,47.825,79.70833333333333,Y20
201132,17.5,16.8,34.3,57.16666666666666,Y20
200594,6.5,26.0,32.5,54.166666666666664,Y20
200976,17.375,32.0,49.375,82.29166666666667,Y20
201152,18.25,26.4,44.65,74.41666666666667,Y20
200388,12.75,25.6,38.35,63.916666666666664,Y20
200041,19.5,26.0,45.5,75.83333333333333,Y20
200931,17.875,32.4,50.275,83.79166666666667,Y20
201057,19.4375,19.6,39.0375,65.0625,Y20
200264,18.125,33.6,51.725,86.20833333333333,Y20
200237,17.0,34.0,51.0,85.0,Y20
200719,10.375,30.4,40.775,67.95833333333333,Y20
200107,19.25,38.4,57.65,96.08333333333333,Y20
201147,5.875,25.2,31.075,51.791666666666664,Y20
200195,17.0,27.2,44.2,73.66666666666667,Y20
200962,15.375,25.6,40.975,68.29166666666667,Y20
201003,18.5625,25.2,43.7625,72.9375,Y20
200364,13.75,9.2,22.95,38.25,Y20
200662,14.625,35.6,50.225,83.70833333333333,Y20
200691,9.0,35.6,44.6,74.33333333333333,Y20
200210,14.375,30.0,44.375,73.95833333333333,Y20
200029,16.5,25.6,42.1,70.16666666666667,Y20
200614,16.5,27.2,43.7,72.83333333333333,Y20
200808,18.875,30.0,48.875,81.45833333333333,Y20
200781,17.875,27.6,45.475,75.79166666666667,Y20
200607,15.75,22.4,38.15,63.583333333333336,Y20
200126,15.0,32.0,47.0,78.33333333333333,Y20
200579,10.5,16.4,26.9,44.833333333333336,Y20
200517,16.625,23.2,39.825,66.37500000000001,Y20
200266,14.375,22.0,36.375,60.625,Y20
200605,11.75,29.2,40.95,68.25000000000001,Y20
200876,17.0,25.2,42.2,70.33333333333333,Y20
200072,19.125,30.0,49.125,81.875,Y20
201045,18.5625,18.4,36.9625,61.604166666666664,Y20
200545,11.5,34.8,46.3,77.16666666666667,Y20
200752,19.375,35.2,54.575,90.95833333333333,Y20
200125,18.125,29.6,47.725,79.54166666666667,Y20
200205,5.5625,23.2,28.7625,47.9375,Y20
200746,13.75,11.6,25.35,42.25,Y20
200323,17.375,24.0,41.375,68.95833333333333,Y20
200160,18.125,18.4,36.525,60.875,Y20
200226,13.875,38.4,52.275,87.125,Y20
200261,18.875,20.0,38.875,64.79166666666667,Y20
200346,15.125,31.6,46.725,77.875,Y20
200474,10.75,28.4,39.15,65.25,Y20
200655,17.875,19.6,37.475,62.458333333333336,Y20
200268,18.5,20.0,38.5,64.16666666666667,Y20
200964,16.875,23.2,40.075,66.79166666666667,Y20
201008,17.0,24.8,41.8,69.66666666666667,Y20
200434,14.75,32.0,46.75,77.91666666666667,Y20
201067,15.625,34.0,49.625,82.70833333333333,Y20
201102,16.5625,20.8,37.3625,62.27083333333333,Y20
200574,13.25,32.8,46.05,76.75,Y20
200020,18.25,36.0,54.25,90.41666666666667,Y20
200258,19.125,28.8,47.925,79.875,Y20
200185,16.5,33.6,50.1,83.5,Y20
200819,15.625,39.6,55.225,92.04166666666667,Y20
200750,13.25,29.6,42.85,71.41666666666667,Y20
200216,17.0625,38.4,55.4625,92.4375,Y20
200322,12.75,41.2,53.95,89.91666666666667,Y20
200954,5.0,14.0,19.0,31.666666666666668,Y20
200710,19.5,32.4,51.9,86.5,Y20
200501,4.375,31.2,35.575,59.29166666666667,Y20
200238,18.125,31.6,49.725,82.875,Y20
200014,17.75,31.2,48.95,81.58333333333333,Y20
201023,7.9375,26.0,33.9375,56.5625,Y20
200716,15.0,40.0,55.0,91.66666666666667,Y20
200640,18.375,26.4,44.775,74.625,Y20
200417,14.125,30.8,44.925,74.875,Y20
200141,10.75,15.2,25.95,43.25,Y20
201038,14.25,33.2,47.45,79.08333333333333,Y20
201022,12.8125,35.6,48.4125,80.6875,Y20
201061,19.0,26.0,45.0,75.0,Y20
200883,15.25,26.0,41.25,68.75,Y20
200405,15.875,26.0,41.875,69.79166666666667,Y20
201145,10.0,31.2,41.2,68.66666666666667,Y20
200692,15.375,30.4,45.775,76.29166666666667,Y20
